,N,said,showed,kennedy
0,2242,24,0,0
1,2277,14,0,0
2,2275,17,0,6
3,2217,3,0,8
4,2244,31,0,1
5,2263,26,0,2
6,2270,10,0,1
7,2187,1,0,1
8,2234,22,0,0
9,2282,18,0,0
10,2259,3,0,0
11,2338,11,0,0
12,2241,7,1,0
13,2329,7,0,0
14,2314,11,2,0
15,2374,0,0,0
16,2293,2,0,0
17,2314,0,0,1
18,2260,25,1,0
19,2317,13,0,0
20,2245,21,0,0
21,2309,24,0,0
22,2327,12,0,0
23,2252,17,0,0
24,2327,18,0,0
25,2278,2,1,1
26,2288,15,0,0
27,2220,6,0,2
28,2349,0,0,0
29,2274,1,0,0
30,2311,2,0,0
31,2323,3,0,0
32,2284,6,0,7
33,2235,1,0,10
34,2217,0,0,0
35,2229,1,0,0
36,2324,10,0,7
37,2221,2,0,0
38,2452,5,0,0
39,2340,6,0,0
40,2313,1,0,0
41,2338,7,0,11
42,2291,1,0,8
43,2277,0,0,0
44,2200,1,0,0
45,2234,2,0,3
46,2244,3,0,3
47,2230,0,0,0
48,2241,2,0,1
49,2231,1,1,4
50,2239,0,0,0
51,2395,9,0,0
52,2312,4,0,0
53,2298,3,0,0
54,2293,0,0,6
55,2296,5,0,0
56,2267,1,0,0
57,2264,4,0,8
58,2311,2,0,0
59,2260,1,0,6
60,2288,1,0,0
61,2194,2,0,3
62,2287,0,1,0
63,2299,2,1,0
64,2278,0,0,1
65,2294,3,0,3
66,2357,2,0,0
67,2346,0,0,0
68,2368,0,0,0
69,2316,3,0,1
70,2262,1,0,0
71,2415,1,0,0
72,2320,1,1,0
73,2356,0,0,0
74,2342,1,0,0
75,2398,3,1,0
76,2433,0,0,1
77,2421,0,0,0
78,2351,0,0,0
79,2345,1,1,0
80,2461,0,0,0
81,2480,1,0,9
82,2342,0,1,0
83,2282,1,0,0
84,2574,0,0,0
85,2503,0,0,0
86,2311,2,0,1
87,2370,1,1,1
88,2213,0,0,0
89,2334,1,0,0
90,2332,2,0,0
91,2318,1,0,0
92,2410,2,1,0
93,2317,1,0,0
94,2359,8,0,0
95,2332,2,0,0
96,2314,0,0,0
97,2238,1,0,0
98,2304,1,0,0
99,2307,0,0,0
100,2236,0,1,0
101,2276,0,1,0
102,2315,2,0,0
103,2451,6,0,0
104,2343,0,1,0
105,2258,0,0,0
106,2279,1,0,0
107,2257,0,0,0
108,2295,0,0,0
109,2271,2,0,0
110,2222,0,0,0
111,2370,0,0,0
112,2226,0,0,0
113,2476,1,0,0
114,2402,0,1,0
115,2333,1,0,0
116,2288,0,0,0
117,2261,0,0,0
118,2346,0,0,0
119,2333,0,0,0
120,2223,0,0,0
121,2244,0,0,0
122,2302,4,0,0
123,2260,0,0,0
124,2251,0,0,0
125,2239,0,0,0
126,2402,0,0,0
127,2307,0,0,0
128,2253,1,0,1
129,2227,0,0,0
130,2243,0,0,0
131,2323,0,0,0
132,2291,0,0,0
133,2246,0,0,0
134,2294,0,0,0
135,2247,0,0,0
136,2339,0,1,0
137,2233,0,0,0
138,2300,0,0,0
139,2272,1,0,0
140,2232,0,0,0
141,2369,2,0,0
142,2264,2,0,0
143,2256,0,0,0
144,2258,3,0,0
145,2250,0,1,0
146,2424,1,0,0
147,2205,0,0,0
148,2356,0,0,0
149,2306,6,0,0
150,2332,4,0,0
151,2310,1,0,0
152,2361,0,0,0
153,2316,0,0,0
154,2285,1,1,0
155,2236,0,0,0
156,2331,2,0,0
157,2236,0,0,0
158,2328,0,0,0
159,2321,1,0,0
160,2278,2,1,0
161,2212,0,0,0
162,2431,1,0,0
163,2299,2,0,0
164,2384,10,1,0
165,2313,3,0,0
166,2258,4,2,0
167,2288,0,0,0
168,2267,0,0,0
169,2302,0,0,11
170,2259,4,0,0
171,2220,16,0,0
172,2322,2,1,0
173,2219,3,0,0
174,2300,0,0,0
175,2439,9,0,0
176,2362,3,2,0
177,2222,1,0,0
178,2405,1,0,0
179,2351,0,0,0
180,2250,4,1,0
181,2261,0,0,0
182,2355,0,0,0
183,2288,0,1,0
184,2245,0,0,0
185,2261,0,0,0
186,2267,0,0,0
187,2275,0,0,0
188,2222,1,0,0
189,2289,0,0,0
190,2311,1,0,1
191,2403,1,0,2
192,2359,5,2,0
193,2394,1,0,0
194,2397,3,0,0
195,2308,0,0,1
196,2322,1,0,0
197,2278,0,0,0
198,2301,0,0,0
199,2237,0,0,0
200,2332,4,0,0
201,2311,0,0,0
202,2320,1,1,0
203,2514,0,0,0
204,2226,0,0,0
205,2471,9,0,0
206,2289,2,0,0
207,2259,0,0,0
208,2286,1,0,0
209,2245,2,0,2
210,2291,0,0,0
211,2316,0,0,0
212,2211,1,0,0
213,2255,0,0,0
214,2195,0,0,0
215,2359,6,3,0
216,2211,0,1,1
217,2240,0,0,0
218,2328,0,0,0
219,2299,1,0,0
220,2314,11,3,0
221,2335,1,0,0
222,2351,7,0,0
223,2285,0,0,0
224,2386,5,0,0
225,2275,0,0,0
226,2317,2,0,0
227,2436,2,1,0
228,2318,9,1,0
229,2276,2,1,0
230,2221,1,0,0
231,2293,1,0,0
232,2238,0,0,0
233,2357,10,1,0
234,2214,1,0,0
235,2433,7,0,0
236,2204,1,0,0
237,2415,3,0,0
238,2312,0,0,0
239,2278,3,0,0
240,2277,2,0,0
241,2307,3,0,0
242,2328,9,0,0
243,2266,2,0,0
244,2282,0,0,0
245,2349,1,0,0
246,2286,3,0,0
247,2312,2,0,0
248,2251,3,0,0
249,2267,2,0,0
250,2285,1,1,0
251,2209,1,0,0
252,2347,1,0,0
253,2235,0,0,0
254,2302,8,1,0
255,2389,8,0,0
256,2348,0,0,0
257,2407,0,0,0
258,2262,1,0,0
259,2295,0,0,0
260,2247,3,0,0
261,2334,0,0,0
262,2408,0,0,0
263,2288,6,1,0
264,2416,0,0,0
265,2360,0,0,0
266,2207,1,0,1
267,2316,0,0,0
268,2228,3,0,0
269,2411,0,0,0
270,2436,1,0,0
271,2318,1,0,0
272,2451,2,0,0
273,2313,0,0,0
274,2254,0,0,0
275,2412,0,0,0
276,2408,0,0,3
277,2422,0,0,0
278,2313,0,0,0
279,2346,2,0,0
280,2539,2,1,0
281,2250,1,0,0
282,2194,1,0,0
283,2406,0,0,0
284,2296,0,0,0
285,2559,0,0,0
286,2282,0,0,0
287,2471,0,0,0
288,2305,3,0,0
289,2200,1,1,0
290,2248,0,1,0
291,2317,0,0,0
292,2225,0,0,0
293,2214,0,0,0
294,2189,0,0,0
295,2182,0,1,0
296,2205,0,2,0
297,2334,0,6,0
298,2276,0,1,0
299,2148,0,0,0
300,2370,0,0,0
301,2206,0,0,0
302,2302,0,4,0
303,2262,0,0,0
304,2277,0,1,0
305,2328,0,0,0
306,2294,1,0,0
307,2298,0,1,0
308,2317,0,12,0
309,2258,0,4,0
310,2291,1,2,0
311,2290,0,0,0
312,2333,0,0,0
313,2211,0,0,0
314,2229,0,0,0
315,2185,0,0,0
316,2337,0,0,0
317,2223,0,1,0
318,2292,0,0,0
319,2299,0,0,0
320,2257,0,0,0
321,2243,1,1,0
322,2230,0,0,0
323,2267,0,1,0
324,2335,2,0,0
325,2170,0,0,0
326,2241,1,0,0
327,2208,0,0,0
328,2401,0,0,0
329,2262,2,0,0
330,2186,0,0,0
331,2174,0,0,0
332,2339,0,0,0
333,2171,0,1,0
334,2250,0,0,0
335,2304,1,0,0
336,2250,0,1,0
337,2238,3,0,0
338,2214,0,0,0
339,2266,0,0,0
340,2260,0,1,0
341,2301,0,0,0
342,2189,1,0,0
343,2319,0,0,0
344,2257,1,0,0
345,2255,3,0,0
346,2327,1,1,0
347,2255,0,0,0
348,2222,0,0,0
349,2264,0,0,0
350,2239,0,0,0
351,2267,3,1,0
352,2270,1,0,0
353,2276,1,0,0
354,2331,1,2,0
355,2206,1,0,0
356,2299,3,0,0
357,2291,1,0,0
358,2386,1,0,0
359,2313,3,0,0
360,2210,1,0,0
361,2302,1,0,0
362,2281,0,0,0
363,2187,0,2,0
364,2296,0,0,0
365,2372,0,1,0
366,2486,0,0,0
367,2306,0,0,0
368,2242,0,0,0
369,2341,0,1,0
370,2525,0,0,0
371,2371,0,0,0
372,2246,0,0,0
373,2254,0,0,0
374,2440,13,0,0
375,2325,8,0,0
376,2296,7,0,0
377,2310,9,0,0
378,2345,7,0,0
379,2527,0,0,0
380,2443,10,0,0
381,2375,6,1,0
382,2281,5,1,0
383,2396,3,1,0
384,2399,2,0,0
385,2425,7,0,0
386,2364,11,0,0
387,2340,2,1,0
388,2330,7,0,0
389,2319,1,0,0
390,2380,2,0,0
391,2218,5,0,0
392,2345,18,1,0
393,2378,7,0,0
394,2376,2,0,0
395,2404,14,0,0
396,2319,8,0,0
397,2419,12,0,0
398,2230,2,0,0
399,2404,12,0,0
400,2319,0,0,0
401,2517,14,0,0
402,2264,0,0,0
403,2374,14,0,0
404,2370,19,1,0
405,2428,14,0,0
406,2285,5,0,0
407,2371,14,0,0
408,2288,2,0,0
409,2331,9,0,0
410,2489,14,0,0
411,2393,9,0,0
412,2391,5,1,0
413,2341,7,1,0
414,2437,4,1,0
415,2405,3,0,0
416,2485,8,0,0
417,2358,13,1,0
418,2419,4,1,0
419,2337,5,0,0
420,2324,11,1,0
421,2330,4,0,0
422,2455,15,0,0
423,2414,1,0,0
424,2358,5,0,0
425,2340,6,2,0
426,2446,13,0,0
427,2486,5,0,0
428,2412,17,0,0
429,2364,7,0,0
430,2461,8,0,0
431,2369,1,1,0
432,2378,7,1,0
433,2448,24,0,0
434,2383,8,0,0
435,2380,12,1,0
436,2349,8,0,0
437,2434,22,1,0
438,2279,2,1,0
439,2403,8,1,0
440,2289,1,0,0
441,2483,8,1,0
442,2471,15,0,0
443,2308,1,0,0
444,2424,10,0,0
445,2395,3,0,0
446,2381,2,0,0
447,2318,5,3,0
448,2405,8,0,0
449,2529,14,1,0
450,2275,9,1,0
451,2457,2,0,0
452,2356,7,1,0
453,2341,10,0,0
454,2313,18,0,0
455,2349,4,0,0
456,2523,32,0,0
457,2418,3,0,0
458,2341,11,1,0
459,2449,23,0,0
460,2281,4,3,0
461,2560,14,1,0
462,2332,2,1,0
463,2320,24,0,0
464,2422,5,1,0
465,2546,19,0,0
466,2346,3,0,0
467,2538,17,1,0
468,2385,11,0,0
469,2317,15,0,0
470,2187,3,0,0
471,2386,9,0,0
472,2346,4,0,0
473,2463,22,1,0
474,2338,8,0,0
475,2501,8,0,0
476,2524,21,0,0
477,2525,14,0,0
478,2288,10,0,0
479,2469,19,0,0
480,2449,10,0,0
481,2428,14,1,0
482,2520,5,0,0
483,2441,5,0,0
484,2546,8,0,0
485,2524,26,0,0
486,2310,11,0,0
487,2356,12,0,0
488,2459,6,0,0
489,2339,5,1,0
490,2417,15,1,0
491,2331,2,0,0
492,2392,4,2,0
493,2587,6,1,0
494,2256,7,0,0
495,2464,20,0,0
496,2506,29,0,0
497,2456,17,1,0
498,2371,2,0,0
499,2332,1,0,0
